threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.81,0.43
0.05,0.43,1.0,0.6,0.81,0.43
0.1,0.43,1.0,0.6,0.81,0.43
0.15,0.44,1.0,0.61,0.81,0.44
0.2,0.43,0.99,0.6,0.81,0.44
0.25,0.47,0.97,0.63,0.81,0.51
0.3,0.54,0.92,0.68,0.81,0.62
0.35,0.58,0.88,0.7,0.81,0.67
0.4,0.63,0.82,0.71,0.81,0.71
0.45,0.69,0.73,0.71,0.81,0.74
0.5,0.74,0.6,0.66,0.81,0.73
0.55,0.76,0.58,0.66,0.81,0.74
0.6,0.79,0.55,0.65,0.81,0.74
0.65,0.85,0.51,0.64,0.81,0.75
0.7,0.92,0.48,0.63,0.81,0.76
0.75,0.91,0.45,0.6,0.81,0.74
0.8,0.92,0.41,0.57,0.81,0.73
0.85,0.92,0.32,0.47,0.81,0.69
0.9,0.93,0.12,0.22,0.81,0.62
0.95,0.0,0.0,0.0,0.81,0.57
1.0,0.0,0.0,0.0,0.81,0.57
