threshold,precision,recall,f1,auc,accuracy
0.0,0.43,1.0,0.6,0.79,0.43
0.05,0.43,1.0,0.6,0.79,0.43
0.1,0.45,0.97,0.62,0.79,0.48
0.15,0.48,0.95,0.64,0.79,0.54
0.2,0.53,0.9,0.67,0.79,0.62
0.25,0.59,0.85,0.7,0.79,0.68
0.3,0.64,0.81,0.72,0.79,0.72
0.35,0.65,0.74,0.69,0.79,0.71
0.4,0.67,0.61,0.64,0.79,0.7
0.45,0.72,0.55,0.62,0.79,0.71
0.5,0.76,0.51,0.61,0.79,0.72
0.55,0.82,0.48,0.61,0.79,0.73
0.6,0.88,0.46,0.6,0.79,0.74
0.65,0.91,0.43,0.58,0.79,0.73
0.7,0.92,0.4,0.56,0.79,0.73
0.75,0.91,0.37,0.52,0.79,0.71
0.8,0.91,0.34,0.5,0.79,0.7
0.85,0.91,0.25,0.4,0.79,0.67
0.9,0.92,0.21,0.34,0.79,0.65
0.95,0.67,0.02,0.03,0.79,0.57
1.0,0.0,0.0,0.0,0.79,0.57
